HS10,Description_HS10,Tradevalue_USD
3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",172703915.16822046
3002200000,vaccines for human medicine,25123439.252738044
3004200000,"medicaments of other antibiotics, for retail sale",20804470.332618896
3004600000,"- other, containing antimalarial active principles described in subheading note 2 to this chapter",12526446.67617354
3006600000,chemical contraceptive preparations based on hormones or spermicides,9533850.755827911
3004500000,"medicaments of vitamins or other of 29.36 for retail sale - other, nes",9420038.78278168
3002110000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes :-  malaria diagnostic kits",4660336.645839291
3002150000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes -immunological products, put up in measured doses or in forms or packings for retail sale",3970743.4519300805
3004100000,medicaments of penicillins... or streptomycins for retail sale,3351464.1371692237
3004390000,"medicaments of other hormones, for retail sale, nes",2711016.2779027694
3002300000,vaccines for veterinary medicine,2180633.1354982844
3003900000,"other medicaments with >=2 constituents, not for retail sale, nes",1655996.4394461254
3005900000,"wadding, gauze, etc with pharmaceutical substances for retail sale, nes",1482141.0233696175
3004320000,"medicaments of adrenal cortex hormones, for retail sale",872384.4089213778
3004310000,"medicaments of insulin, for retail sale",797435.9707869919
3004490000,"other, containing alkaloids or derivatives thereof :--  other",526570.059956594
3006100000,materials for surgical sutures; laminaria absorbable haemostatics,515636.86483262025
3005100000,adhesive dressings for medical... purposes,465631.12024912366
3002909000,other (vaccines for veterinary medicine),429748.8007571994
3002120000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes-antisera and other blood fractions",334927.61434479867
